Order ID,Order Date,Region,Category,Product,Customer ID,Quantity,Unit Price,Discount,Sales,Profit,Salesperson,Month,Month Number,Profit Margin
ORD-1019,2025-01-29,South,Accessories,Backpack,CUST-041,1.0,1100,0.0,1100.0,394.69,Meera,Jan,1,0.3588090909090909
ORD-1020,2025-07-19,West,Accessories,Backpack,CUST-016,1.0,1100,0.1,990.0,330.25,Meera,Jul,7,0.3335858585858586
ORD-1021,2025-02-21,North,Home & Kitchen,Storage Box,CUST-009,5.0,720,0.05,3420.0,1407.94,Kabir,Feb,2,0.4116783625730994
ORD-1022,2025-03-10,North,Electronics,Keyboard,CUST-015,5.0,950,0.05,4512.5,1741.29,Sara,Mar,3,0.38588144044321326
ORD-1023,2025-12-28,East,Office Supplies,Pen Set,CUST-021,5.0,150,0.0,750.0,171.22,Kabir,Dec,12,0.22829333333333332
ORD-1024,2025-06-20,South,Electronics,Bluetooth Speaker,CUST-009,2.0,2200,0.05,4180.0,971.58,Meera,Jun,6,0.2324354066985646
ORD-1025,2025-07-17,South,Electronics,Keyboard,CUST-015,7.0,950,0.05,6317.5,2098.79,Aarav,Jul,7,0.3322184408389394
ORD-1026,2025-05-13,North,Accessories,Laptop Sleeve,CUST-034,4.0,900,0.05,3420.0,1362.13,Rohan,May,5,0.3982836257309942
ORD-1027,2025-02-13,East,Home & Kitchen,Coffee Mug,CUST-031,6.0,380,0.1,2052.0,817.62,Sara,Feb,2,0.39845029239766083
ORD-1028,2025-12-22,East,Electronics,Wireless Mouse,CUST-024,1.0,650,0.0,650.0,165.13,Rohan,Dec,12,0.25404615384615387
ORD-1029,2025-12-18,South,Accessories,Phone Stand,CUST-050,5.0,550,0.05,2612.5,963.51,Sara,Dec,12,0.36880765550239236
ORD-1030,2025-03-07,South,Electronics,Wireless Mouse,CUST-005,3.0,650,0.15,1657.5,400.56,Rohan,Mar,3,0.24166515837104072
ORD-1031,2025-11-05,East,Accessories,Laptop Sleeve,CUST-017,1.0,900,0.0,900.0,239.04,Meera,Nov,11,0.2656
ORD-1032,2025-05-30,East,Electronics,Keyboard,CUST-048,6.0,950,0.0,5700.0,1326.03,Diya,May,5,0.23263684210526314
ORD-1033,2025-01-12,North,Accessories,Backpack,CUST-036,7.0,1100,0.0,7700.0,2310.95,Sara,Jan,1,0.3001233766233766
ORD-1034,2025-01-17,West,Office Supplies,Notebook,CUST-022,7.0,180,0.15,1071.0,342.56,Aarav,Jan,1,0.31985060690943046
ORD-1035,2025-12-08,North,Electronics,Wireless Mouse,CUST-015,2.0,650,0.05,1235.0,488.61,Meera,Dec,12,0.3956356275303644
ORD-1036,2025-12-05,North,Home & Kitchen,Storage Box,CUST-005,3.0,720,0.1,1944.0,538.33,Rohan,Dec,12,0.27691872427983544
ORD-1037,2025-10-29,West,Electronics,Wireless Mouse,CUST-007,4.0,650,0.0,2600.0,935.51,Kabir,Oct,10,0.35981153846153846
ORD-1038,2025-07-05,South,Accessories,Cable Pack,CUST-030,4.0,420,0.15,1428.0,592.66,Meera,Jul,7,0.4150280112044818
ORD-1039,2025-02-24,North,Electronics,USB-C Hub,CUST-009,6.0,1450,0.05,8265.0,1874.12,Meera,Feb,2,0.2267537810042347
ORD-1040,2025-03-08,South,Accessories,Laptop Sleeve,CUST-034,4.0,900,0.1,3240.0,1349.24,Aarav,Mar,3,0.4164320987654321
ORD-1041,2025-04-16,North,Home & Kitchen,Table Lamp,CUST-047,4.0,1250,0.05,4750.0,1419.28,Sara,Apr,4,0.2987957894736842
ORD-1042,2025-10-02,South,Office Supplies,Wireless Mouse,CUST-049,1.0,150,0.05,142.5,41.27,Sara,Oct,10,0.2896140350877193
ORD-1043,2025-04-11,North,Electronics,Keyboard,CUST-048,2.0,950,0.1,1710.0,438.93,Aarav,Apr,4,0.2566842105263158
ORD-1044,2025-11-18,North,Home & Kitchen,Water Bottle,CUST-047,3.0,450,0.1,1215.0,434.89,Aarav,Nov,11,0.3579341563786008
ORD-1045,2025-12-01,South,Electronics,Bluetooth Speaker,CUST-028,2.0,2200,0.0,4400.0,1746.37,Aarav,Dec,12,0.3969022727272727
ORD-1046,2025-09-16,North,Electronics,Wireless Mouse,CUST-041,6.0,650,0.05,3705.0,1051.69,Kabir,Sep,9,0.2838569500674764
ORD-1047,2025-10-30,West,Office Supplies,Desk Organizer,CUST-025,6.0,320,0.1,1728.0,710.74,Diya,Oct,10,0.41130787037037037
ORD-1048,2025-11-21,East,Electronics,Wireless Mouse,CUST-001,5.0,650,0.05,3087.5,1266.34,Kabir,Nov,11,0.41015060728744934
ORD-1049,2025-12-04,West,Electronics,USB-C Hub,CUST-035,1.0,1450,0.0,1450.0,340.8,Aarav,Dec,12,0.2350344827586207
ORD-1050,2025-11-02,West,Accessories,Laptop Sleeve,CUST-032,2.0,900,0.1,1620.0,427.85,Meera,Nov,11,0.26410493827160497
ORD-1051,2025-08-13,East,Electronics,Bluetooth Speaker,CUST-042,6.0,2200,0.05,12540.0,3116.01,Kabir,Aug,8,0.24848564593301437
ORD-1052,2025-10-14,South,Home & Kitchen,Coffee Mug,CUST-009,2.0,380,0.0,760.0,246.56,Kabir,Oct,10,0.32442105263157894
ORD-1053,2025-08-09,South,Office Supplies,Notebook,CUST-010,4.0,180,0.0,720.0,247.76,Rohan,Aug,8,0.3441111111111111
ORD-1054,2025-03-27,West,Accessories,Phone Stand,CUST-024,5.0,550,0.05,2612.5,925.68,Meera,Mar,3,0.3543272727272727
ORD-1055,2025-12-17,West,Home & Kitchen,Table Lamp,CUST-004,2.0,1250,0.05,2375.0,696.86,Diya,Dec,12,0.2934147368421053
ORD-1056,2025-03-06,East,Electronics,USB-C Hub,Unknown,5.0,1450,0.1,6525.0,2568.11,Meera,Mar,3,0.39358007662835254
ORD-1057,2025-08-21,North,Home & Kitchen,Water Bottle,CUST-048,5.0,450,0.15,1912.5,750.69,Sara,Aug,8,0.3925176470588236
ORD-1058,2025-03-03,West,Home & Kitchen,Table Lamp,CUST-005,4.0,1250,0.1,4500.0,1038.58,Diya,Mar,3,0.23079555555555553
ORD-1059,2025-09-21,East,Electronics,USB-C Hub,CUST-001,4.0,1450,0.0,5800.0,1780.66,Meera,Sep,9,0.3070103448275862
ORD-1060,2025-06-23,West,Office Supplies,Desk Organizer,CUST-012,6.0,320,0.1,1728.0,555.67,Meera,Jun,6,0.321568287037037
ORD-1061,2025-02-20,North,Electronics,Bluetooth Speaker,CUST-037,6.0,2200,0.0,13200.0,3807.24,Kabir,Feb,2,0.2884272727272727
ORD-1062,2025-12-03,South,Home & Kitchen,Table Lamp,CUST-032,6.0,1250,0.1,6750.0,1805.58,Diya,Dec,12,0.2674933333333333
ORD-1063,2025-10-18,North,Office Supplies,Desk Organizer,CUST-028,3.0,320,0.0,960.0,223.46,Kabir,Oct,10,0.23277083333333334
ORD-1064,2025-09-27,East,Home & Kitchen,Coffee Mug,CUST-031,2.0,380,0.15,646.0,170.51,Kabir,Sep,9,0.2639473684210526
ORD-1065,2025-02-21,East,Accessories,Phone Stand,CUST-014,1.0,550,0.15,467.5,185.27,Sara,Feb,2,0.39629946524064175
ORD-1066,2025-11-17,East,Electronics,USB-C Hub,CUST-005,4.0,1450,0.05,5510.0,2300.64,Kabir,Nov,11,0.41753901996370235
ORD-1067,2025-09-21,South,Electronics,Bluetooth Speaker,CUST-026,7.0,2200,0.05,14630.0,5261.16,Sara,Sep,9,0.3596144907723855
ORD-1068,2025-09-27,West,Electronics,Bluetooth Speaker,CUST-039,3.0,2200,0.1,5940.0,2157.52,Sara,Sep,9,0.3632188552188552
ORD-1069,2025-01-16,East,Accessories,Backpack,CUST-035,1.0,1100,0.05,1045.0,420.0,Sara,Jan,1,0.4019138755980861
ORD-1070,2025-11-12,North,Electronics,Wireless Mouse,CUST-001,4.0,650,0.1,2340.0,890.04,Sara,Nov,11,0.38035897435897437
ORD-1071,2025-04-16,North,Electronics,USB-C Hub,CUST-050,1.0,1450,0.0,1450.0,433.28,Rohan,Apr,4,0.29881379310344824
ORD-1072,2025-12-18,North,Accessories,Backpack,CUST-007,2.0,1100,0.1,1980.0,464.19,Rohan,Dec,12,0.23443939393939395
ORD-1073,2025-11-05,North,Accessories,Cable Pack,CUST-035,4.0,420,0.0,1680.0,663.63,Meera,Nov,11,0.39501785714285714
ORD-1074,2025-07-17,West,Home & Kitchen,Storage Box,CUST-003,1.0,720,0.0,720.0,196.61,Diya,Jul,7,0.2730694444444445
ORD-1075,2025-01-06,West,Home & Kitchen,Coffee Mug,CUST-004,4.0,380,0.05,1444.0,590.74,Meera,Jan,1,0.40909972299168973
ORD-1076,2025-01-02,East,Accessories,Backpack,CUST-039,4.0,1100,0.0,4400.0,1767.29,Diya,Jan,1,0.4016568181818182
ORD-1077,2025-05-18,West,Office Supplies,Stapler,CUST-023,4.0,280,0.05,1064.0,325.07,Aarav,May,5,0.3055169172932331
ORD-1078,2025-04-01,East,Office Supplies,Stapler,CUST-023,3.0,280,0.05,798.0,231.54,Sara,Apr,4,0.2901503759398496
ORD-1079,2025-02-27,South,Office Supplies,Notebook,CUST-049,5.0,180,0.0,900.0,356.54,Aarav,Feb,2,0.3961555555555556
ORD-1080,2025-12-12,South,Office Supplies,Desk Organizer,CUST-049,5.0,320,0.05,1520.0,445.47,Kabir,Dec,12,0.29307236842105266
ORD-1081,2025-02-26,East,Electronics,Keyboard,CUST-015,7.0,950,0.0,6650.0,2745.04,Kabir,Feb,2,0.41278796992481204
ORD-1082,2025-06-24,East,Electronics,Keyboard,CUST-028,1.0,950,0.05,902.5,252.34,Meera,Jun,6,0.279601108033241
ORD-1083,2025-08-03,West,Office Supplies,Pen Set,CUST-027,2.0,150,0.05,285.0,95.11,Meera,Aug,8,0.333719298245614
ORD-1084,2025-07-12,East,Office Supplies,Desk Organizer,CUST-043,6.0,320,0.1,1728.0,407.44,Meera,Jul,7,0.23578703703703704
ORD-1085,2025-09-25,South,Home & Kitchen,Storage Box,CUST-003,2.0,720,0.1,1296.0,416.24,Aarav,Sep,9,0.32117283950617287
ORD-1086,2025-01-21,North,Accessories,Backpack,CUST-025,6.0,1100,0.0,6600.0,2330.95,Diya,Jan,1,0.3531742424242424
ORD-1087,2025-09-24,North,Home & Kitchen,Coffee Mug,CUST-021,7.0,380,0.1,2394.0,595.36,Kabir,Sep,9,0.24868838763575607
ORD-1088,2025-09-16,North,Home & Kitchen,Water Bottle,CUST-004,5.0,450,0.0,2250.0,513.71,Sara,Sep,9,0.22831555555555558
ORD-1089,2025-06-14,East,Office Supplies,Stapler,CUST-047,6.0,280,0.1,1512.0,517.76,Meera,Jun,6,0.3424338624338624
ORD-1090,2025-05-02,East,Electronics,Wireless Mouse,CUST-021,6.0,650,0.0,3900.0,1508.59,Sara,May,5,0.3868179487179487
ORD-1091,2025-12-02,West,Home & Kitchen,Table Lamp,CUST-026,2.0,1250,0.15,2125.0,832.32,Kabir,Dec,12,0.39168000000000003
ORD-1092,2025-11-04,West,Electronics,Keyboard,CUST-046,6.0,950,0.05,5415.0,1766.02,Aarav,Nov,11,0.326134810710988
ORD-1093,2025-04-22,North,Accessories,Backpack,CUST-010,7.0,1100,0.0,7700.0,2784.23,Kabir,Apr,4,0.3615883116883117
ORD-1094,2025-12-30,North,Office Supplies,Pen Set,CUST-043,1.0,150,0.0,150.0,37.69,Meera,Dec,12,0.25126666666666664
ORD-1095,2025-07-23,West,Home & Kitchen,Storage Box,CUST-038,6.0,720,0.0,4320.0,1497.65,Meera,Jul,7,0.3466782407407408
ORD-1096,2025-11-18,South,Accessories,Phone Stand,CUST-019,4.0,550,0.1,1980.0,494.2,Meera,Nov,11,0.2495959595959596
ORD-1097,2025-06-07,West,Home & Kitchen,Table Lamp,CUST-043,1.0,1250,0.0,1250.0,400.3,Meera,Jun,6,0.32024
ORD-1098,2025-07-08,West,Office Supplies,Notebook,CUST-001,7.0,180,0.05,1197.0,460.24,Kabir,Jul,7,0.38449456975772767
ORD-1099,2025-04-26,West,Electronics,Wireless Mouse,CUST-008,5.0,650,0.05,3087.5,1106.85,Meera,Apr,4,0.35849392712550604
ORD-1100,2025-07-26,East,Electronics,Wireless Mouse,CUST-041,2.0,650,0.05,1235.0,276.19,Meera,Jul,7,0.22363562753036437
ORD-1101,2025-11-17,West,Home & Kitchen,Coffee Mug,CUST-032,5.0,380,0.1,1710.0,388.78,Rohan,Nov,11,0.2273567251461988
ORD-1102,2025-06-18,East,Electronics,Bluetooth Speaker,CUST-049,4.0,2200,0.05,8360.0,2586.41,Meera,Jun,6,0.3093791866028708
ORD-1103,2025-06-02,South,Accessories,Laptop Sleeve,CUST-032,2.0,900,0.1,1620.0,437.41,Kabir,Jun,6,0.2700061728395062
ORD-1104,2025-01-02,West,Electronics,Wireless Mouse,CUST-043,4.0,650,0.05,2470.0,550.54,Kabir,Jan,1,0.2228906882591093
ORD-1105,2025-04-29,West,Office Supplies,Stapler,CUST-028,1.0,280,0.0,280.0,86.49,Rohan,Apr,4,0.30889285714285714
ORD-1106,2025-04-08,North,Accessories,Laptop Sleeve,CUST-019,2.0,900,0.0,1800.0,738.47,Aarav,Apr,4,0.41026111111111113
ORD-1107,2025-12-07,West,Home & Kitchen,Storage Box,CUST-020,5.0,720,0.1,3240.0,881.65,Rohan,Dec,12,0.2721141975308642
ORD-1108,2025-05-20,East,Electronics,Wireless Mouse,CUST-048,1.0,650,0.1,585.0,245.17,Meera,May,5,0.41909401709401706
ORD-1109,2025-04-06,South,Electronics,USB-C Hub,CUST-013,6.0,1450,0.1,7830.0,2236.85,Diya,Apr,4,0.28567688378033207
ORD-1110,2025-06-01,West,Office Supplies,Stapler,CUST-023,6.0,280,0.0,1680.0,507.25,Kabir,Jun,6,0.3019345238095238
ORD-1111,2025-02-11,North,Accessories,Phone Stand,CUST-023,7.0,550,0.0,3850.0,1353.72,Rohan,Feb,2,0.35161558441558444
ORD-1112,2025-06-05,South,Accessories,Laptop Sleeve,CUST-006,5.0,900,0.05,4275.0,1678.52,Meera,Jun,6,0.3926362573099415
ORD-1113,2025-03-10,East,Home & Kitchen,Table Lamp,CUST-011,6.0,1250,0.0,7500.0,1777.05,Kabir,Mar,3,0.23693999999999998
ORD-1114,2025-05-06,North,Office Supplies,Notebook,CUST-016,1.0,180,0.0,180.0,74.96,Kabir,May,5,0.4164444444444444
ORD-1115,2025-12-18,South,Office Supplies,Pen Set,CUST-026,4.0,150,0.15,510.0,137.5,Meera,Dec,12,0.2696078431372549
ORD-1116,2025-12-24,North,Accessories,Phone Stand,CUST-016,3.0,550,0.0,1650.0,393.01,Meera,Dec,12,0.23818787878787878
ORD-1117,2025-12-26,East,Home & Kitchen,Storage Box,CUST-015,5.0,720,0.0,3600.0,1338.21,Diya,Dec,12,0.371725
ORD-1118,2025-03-06,South,Accessories,Backpack,CUST-030,1.0,1100,0.05,1045.0,273.38,Rohan,Mar,3,0.26160765550239234
ORD-1119,2025-08-20,West,Office Supplies,Desk Organizer,CUST-034,7.0,320,0.05,2128.0,547.05,Sara,Aug,8,0.25707236842105263
ORD-1120,2025-04-08,East,Electronics,Bluetooth Speaker,CUST-016,2.0,2200,0.0,4400.0,1273.43,Sara,Apr,4,0.2894159090909091
ORD-1121,2025-10-12,West,Office Supplies,Pen Set,CUST-015,1.0,150,0.15,127.5,50.92,Aarav,Oct,10,0.39937254901960784
ORD-1122,2025-01-19,South,Electronics,Wireless Mouse,CUST-003,7.0,650,0.05,4322.5,1545.23,Aarav,Jan,1,0.35748525159051475
ORD-1123,2025-11-07,North,Office Supplies,Notebook,CUST-049,6.0,180,0.05,1026.0,388.44,Diya,Nov,11,0.37859649122807015
ORD-1124,2025-06-29,North,Office Supplies,Desk Organizer,CUST-009,2.0,320,0.0,640.0,158.37,Aarav,Jun,6,0.247453125
ORD-1125,2025-02-10,South,Office Supplies,Pen Set,CUST-024,1.0,150,0.05,142.5,37.6,Sara,Feb,2,0.263859649122807
ORD-1126,2025-07-13,North,Office Supplies,Desk Organizer,CUST-017,5.0,320,0.05,1520.0,430.69,Diya,Jul,7,0.28334868421052634
ORD-1127,2025-09-29,North,Accessories,Phone Stand,CUST-010,4.0,550,0.05,2090.0,580.37,Aarav,Sep,9,0.277688995215311
ORD-1128,2025-08-09,West,Electronics,Wireless Mouse,CUST-041,1.0,650,0.0,650.0,248.52,Aarav,Aug,8,0.38233846153846157
ORD-1129,2025-02-26,North,Home & Kitchen,Water Bottle,CUST-035,4.0,450,0.05,1710.0,516.35,Sara,Feb,2,0.30195906432748537
ORD-1130,2025-06-30,East,Accessories,Backpack,CUST-050,4.0,1100,0.0,4400.0,1167.82,Sara,Jun,6,0.26541363636363635
ORD-1131,2025-04-17,South,Accessories,Phone Stand,CUST-004,4.0,550,0.05,2090.0,466.22,Kabir,Apr,4,0.22307177033492825
ORD-1132,2025-09-25,West,Office Supplies,Stapler,CUST-026,4.0,280,0.05,1064.0,400.84,Kabir,Sep,9,0.37672932330827064
ORD-1133,2025-08-21,North,Electronics,Keyboard,CUST-036,7.0,950,0.0,6650.0,2767.68,Aarav,Aug,8,0.4161924812030075
ORD-1134,2025-08-29,East,Home & Kitchen,Storage Box,CUST-008,3.0,720,0.0,2160.0,522.71,Meera,Aug,8,0.2419953703703704
ORD-1135,2025-03-28,East,Electronics,Wireless Mouse,CUST-007,5.0,650,0.0,3250.0,1035.26,Sara,Mar,3,0.31854153846153843
ORD-1136,2025-04-07,West,Electronics,Wireless Mouse,CUST-029,4.0,650,0.05,2470.0,974.71,Sara,Apr,4,0.3946194331983806
ORD-1137,2025-02-03,East,Office Supplies,Stapler,CUST-023,2.0,280,0.0,560.0,229.54,Meera,Feb,2,0.4098928571428571
ORD-1138,2025-02-18,West,Home & Kitchen,Coffee Mug,CUST-008,7.0,380,0.0,2660.0,800.28,Diya,Feb,2,0.3008571428571428
ORD-1139,2025-11-06,East,Electronics,Bluetooth Speaker,CUST-038,5.0,2200,0.05,10450.0,3561.01,Rohan,Nov,11,0.3407665071770335
ORD-1140,2025-07-14,West,Home & Kitchen,Storage Box,CUST-047,2.0,720,0.15,1224.0,411.44,Meera,Jul,7,0.3361437908496732
ORD-1141,2025-12-11,East,Home & Kitchen,Water Bottle,CUST-039,3.0,450,0.05,1282.5,514.52,Sara,Dec,12,0.40118518518518514
ORD-1142,2025-08-28,North,Home & Kitchen,Coffee Mug,CUST-035,4.0,380,0.15,1292.0,496.53,Diya,Aug,8,0.3843111455108359
ORD-1143,2025-12-02,North,Accessories,Laptop Sleeve,CUST-033,2.0,900,0.05,1710.0,467.34,Sara,Dec,12,0.2732982456140351
ORD-1144,2025-08-24,East,Office Supplies,Desk Organizer,CUST-048,1.0,320,0.1,288.0,75.86,Meera,Aug,8,0.26340277777777776
ORD-1145,2025-06-12,West,Accessories,Backpack,CUST-001,5.0,1100,0.1,4950.0,1980.14,Diya,Jun,6,0.40002828282828284
ORD-1146,2025-06-07,West,Electronics,USB-C Hub,CUST-047,2.0,1450,0.0,2900.0,800.8,Sara,Jun,6,0.27613793103448275
ORD-1147,2025-08-18,East,Office Supplies,Desk Organizer,CUST-001,3.0,320,0.05,912.0,308.41,Meera,Aug,8,0.33816885964912285
ORD-1148,2025-07-30,North,Office Supplies,Stapler,CUST-039,1.0,280,0.0,280.0,95.53,Aarav,Jul,7,0.34117857142857144
ORD-1149,2025-05-02,South,Home & Kitchen,Water Bottle,CUST-010,1.0,450,0.15,382.5,142.01,Aarav,May,5,0.37126797385620913
ORD-1150,2025-06-22,South,Accessories,Laptop Sleeve,CUST-024,3.0,900,0.0,2700.0,1033.69,Meera,Jun,6,0.38284814814814816
