StockCode,description,gross_revenue,units,orders,customers,returns_value,returns_units,reversal_value,net_revenue,return_rate_pct,return_rate_adj_pct,avg_unit_price,cum_share_pct,rank
82484,WOOD BLACK BOARD ANT WHITE FINISH,35966.92,6012,685,285,170.95,24.0,12.9,35795.97,0.48,0.44,5.98,11.37,18
20725,LUNCH BAG RED RETROSPOT,35862.36,19432,1565,532,854.7,574.0,581.65,35007.66,2.38,0.77,1.85,11.73,19
22114,HOT WATER BOTTLE TEA AND SYMPATHY,32973.44,5740,643,325,310.1,82.0,105.8,32663.34,0.94,0.62,5.74,12.06,20
22178,VICTORIAN GLASS HANGING T-LIGHT,33146.82,24275,1037,403,638.4,450.0,75.0,32508.42,1.93,1.7,1.37,12.4,21
85099F,JUMBO BAG STRAWBERRY,32727.65,17283,822,315,448.49,250.0,388.8,32279.16,1.37,0.18,1.89,12.73,22
22112,CHOCOLATE HOT WATER BOTTLE,32826.58,6017,858,382,548.88,128.0,102.0,32277.7,1.67,1.37,5.46,13.06,23
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,32843.84,10594,820,470,931.45,351.0,612.0,31912.39,2.84,0.99,3.1,13.38,24
22469,HEART OF WICKER SMALL,32094.6,17963,1201,573,207.95,135.0,0.0,31886.65,0.65,0.65,1.79,13.71,25
23245,SET OF 3 REGENCY CAKE TINS,31118.55,6345,873,472,421.5,90.0,4.95,30697.05,1.35,1.34,4.9,14.02,26
22727,ALARM CLOCK BAKELIKE RED,30644.87,7800,1051,388,266.25,71.0,11.25,30378.62,0.87,0.83,3.93,14.33,27
21931,JUMBO STORAGE BAG SUKI,30764.01,13651,1184,333,602.33,334.0,552.8,30161.68,1.96,0.16,2.25,14.64,28
22470,HEART OF WICKER LARGE,30098.11,9887,925,485,189.5,68.0,0.0,29908.61,0.63,0.63,3.04,14.95,29
23199,JUMBO BAG APPLES,30450.69,14908,978,344,1309.25,723.0,751.8,29141.44,4.3,1.88,2.04,15.25,30
22355,CHARLOTTE BAG SUKI DESIGN,29254.15,18124,882,249,113.59,150.0,72.0,29140.56,0.39,0.14,1.61,15.54,31
23355,HOT WATER BOTTLE KEEP CALM,28718.8,5816,782,474,417.6,96.0,139.2,28301.2,1.45,0.97,4.94,15.83,32
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,28577.1,12574,1175,375,622.47,354.0,576.7,27954.63,2.18,0.16,2.27,16.12,33
22699,ROSES REGENCY TEACUP AND SAUCER,29056.92,9864,1065,423,1150.35,437.0,140.1,27906.57,3.96,3.49,2.95,16.41,34
22457,NATURAL SLATE HEART CHALKBOARD,27991.61,9119,1249,587,152.6,52.0,0.0,27839.01,0.55,0.55,3.07,16.69,35
20685,DOORMAT RED RETROSPOT,28049.54,4088,696,329,461.22,66.0,78.75,27588.32,1.64,1.37,6.86,16.97,36
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28047.74,13900,933,306,510.88,281.0,470.2,27536.86,1.82,0.15,2.02,17.26,37
22726,ALARM CLOCK BAKELIKE GREEN,27155.28,6419,980,322,153.75,41.0,22.5,27001.53,0.57,0.48,4.23,17.53,38
23201,JUMBO BAG ALPHABET,27850.83,13366,906,396,1076.02,594.0,419.58,26774.81,3.86,2.39,2.08,17.81,39
21915,RED  HARMONICA IN BOX,26294.08,21903,661,349,83.75,67.0,15.0,26210.33,0.32,0.26,1.2,18.07,40
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,26425.58,9461,449,192,321.6,9376.0,0.0,26103.98,1.22,1.22,2.79,18.34,41
22666,RECIPE BOX PANTRY YELLOW DESIGN,26219.95,8269,1111,471,421.05,151.0,17.7,25798.9,1.61,1.54,3.17,18.6,42
22629,SPACEBOY LUNCH BOX,25719.02,14249,900,322,92.7,54.0,0.0,25626.32,0.36,0.36,1.8,18.87,43
84946,ANTIQUE SILVER T-LIGHT GLASS,25843.38,19209,905,415,372.96,335.0,0.0,25470.42,1.44,1.44,1.35,19.13,44
48138,DOORMAT UNION FLAG,25534.15,3751,616,313,97.5,12.0,0.0,25436.65,0.38,0.38,6.81,19.39,45
22961,JAM MAKING SET PRINTED,25637.78,16396,1162,537,425.75,331.0,245.8,25212.03,1.66,0.71,1.56,19.65,46
21181,PLEASE ONE PERSON METAL SIGN,25225.48,12274,845,361,169.7,87.0,25.2,25055.78,0.67,0.57,2.06,19.9,47
23173,REGENCY TEAPOT ROSES,24879.13,2766,416,248,436.4,52.0,205.55,24442.73,1.75,0.94,8.99,20.15,48
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24436.26,5966,834,393,118.0,30.0,15.8,24318.26,0.48,0.42,4.1,20.4,49
21621,VINTAGE UNION JACK BUNTING,24525.83,2787,475,267,238.0,28.0,153.0,24287.83,0.97,0.35,8.8,20.65,50
22326,ROUND SNACK BOXES SET OF4 WOODLAND,24364.87,8535,732,281,118.0,40.0,17.7,24246.87,0.48,0.41,2.85,20.9,51
48187,DOORMAT NEW ENGLAND,24108.39,3807,600,314,31.8,4.0,0.0,24076.59,0.13,0.13,6.33,21.14,52
22111,SCOTTIE DOG HOT WATER BOTTLE,24455.39,4655,771,425,544.45,129.0,4.95,23910.94,2.23,2.21,5.25,21.39,53
22138,BAKING SET 9 PIECE RETROSPOT,24185.27,4937,934,581,311.1,68.0,19.8,23874.17,1.29,1.21,4.9,21.63,54
21731,RED TOADSTOOL LED NIGHT LIGHT,23919.78,14001,849,266,281.3,186.0,21.45,23638.48,1.18,1.09,1.71,21.88,55
22189,CREAM HEART CARD HOLDER,23435.82,8284,524,274,31.6,8.0,0.0,23404.22,0.13,0.13,2.83,22.11,56
15056N,EDWARDIAN PARASOL NATURAL,23737.97,4077,540,184,337.45,57.0,196.35,23400.52,1.42,0.6,5.82,22.35,57
23344,JUMBO BAG 50'S CHRISTMAS,23772.07,10285,716,391,486.96,262.0,462.0,23285.11,2.05,0.11,2.31,22.59,58
21175,GIN + TONIC DIET METAL SIGN,27029.97,12207,809,343,3775.33,2030.0,30.6,23254.64,13.97,13.87,2.21,22.83,59
21733,RED HANGING HEART T-LIGHT HOLDER,23199.24,7872,741,385,152.95,57.0,90.45,23046.29,0.66,0.27,2.95,23.07,60
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23489.42,4800,470,275,545.55,117.0,4.95,22943.87,2.32,2.3,4.89,23.3,61
21623,VINTAGE UNION JACK MEMOBOARD,22980.24,3269,221,139,39.8,4.0,0.0,22940.44,0.17,0.17,7.03,23.54,62
21929,JUMBO BAG PINK VINTAGE PAISLEY,23179.06,11006,865,308,387.07,222.0,346.08,22791.99,1.67,0.18,2.11,23.77,63
22139,RETROSPOT TEA SET CERAMIC 11 PC,22868.26,4518,962,488,195.3,42.0,0.0,22672.96,0.85,0.85,5.06,24.0,64
22090,PAPER BUNTING RETROSPOT,22785.06,7562,798,325,196.4,72.0,64.9,22588.66,0.86,0.58,3.01,24.23,65
20713,JUMBO BAG OWLS,23001.06,11429,657,207,431.43,243.0,246.9,22569.63,1.88,0.81,2.01,24.46,66
82482,WOODEN PICTURE FRAME WHITE FINISH,23057.06,8986,1100,410,581.55,233.0,249.9,22475.51,2.52,1.45,2.57,24.69,67
22697,GREEN REGENCY TEACUP AND SAUCER,22755.5,7278,1013,387,393.05,143.0,122.4,22362.45,1.73,1.2,3.13,24.92,68
84997D,CHILDRENS CUTLERY POLKADOT PINK,22385.99,5422,546,248,108.75,29.0,90.0,22277.24,0.49,0.08,4.13,25.15,69
22383,LUNCH BAG SUKI DESIGN,22486.34,12518,1284,434,223.8,148.0,145.0,22262.54,1.0,0.35,1.8,25.38,70
85066,CREAM SWEETHEART MINI CHEST,22594.2,1784,519,289,448.05,41.0,25.5,22146.15,1.98,1.87,12.66,25.6,71
20727,LUNCH BAG  BLACK SKULL.,22346.96,12195,1273,458,202.2,128.0,49.5,22144.76,0.9,0.68,1.83,25.83,72
48194,DOORMAT HEARTS,22114.42,3416,592,286,23.85,3.0,0.0,22090.57,0.11,0.11,6.47,26.06,73
84029E,RED WOOLLY HOTTIE WHITE HEART.,22025.73,4734,429,228,256.45,67.0,34.0,21769.28,1.16,1.01,4.65,26.28,74
20712,JUMBO BAG WOODLAND ANIMALS,22092.42,9773,863,248,426.46,240.0,406.5,21665.96,1.93,0.09,2.26,26.5,75
20724,RED RETROSPOT CHARLOTTE BAG,21773.39,17761,1032,335,170.31,223.0,72.0,21603.08,0.78,0.45,1.23,26.72,76
21523,DOORMAT FANCY FONT HOME SWEET HOME,21593.74,3245,502,203,40.05,5.0,0.0,21553.69,0.19,0.19,6.65,26.94,77
20728,LUNCH BAG CARS BLUE,21699.48,11786,1150,479,327.5,214.0,49.5,21371.98,1.51,1.28,1.84,27.16,78
23202,JUMBO BAG VINTAGE LEAF,21810.43,10941,879,377,442.46,242.0,396.7,21367.97,2.03,0.21,1.99,27.38,79
23209,LUNCH BAG VINTAGE DOILY,21418.82,13170,1098,469,65.8,40.0,1.65,21353.02,0.31,0.3,1.63,27.6,80
22630,DOLLY GIRL LUNCH BOX,21609.79,11780,850,287,478.65,275.0,0.0,21131.14,2.21,2.21,1.83,27.82,81
21212,PACK OF 72 RETROSPOT CAKE CASES,21246.45,36396,1320,635,199.38,380.0,13.2,21047.07,0.94,0.88,0.58,28.03,82
82494L,WOODEN FRAME ANTIQUE WHITE,21811.09,6999,971,392,910.95,353.0,489.6,20900.14,4.18,1.98,3.12,28.24,83
23206,LUNCH BAG APPLE DESIGN,20852.58,12147,1036,401,97.15,59.0,42.9,20755.43,0.47,0.26,1.72,28.46,84
21166,COOK WITH WINE METAL SIGN,20874.44,10324,723,287,161.1,87.0,24.96,20713.34,0.77,0.65,2.02,28.67,85
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,21144.41,10468,806,264,484.53,268.0,358.0,20659.88,2.29,0.61,2.02,28.88,86
22728,ALARM CLOCK BAKELIKE PINK,20672.15,5356,783,291,153.75,41.0,15.0,20518.4,0.74,0.67,3.86,29.09,87
22659,LUNCH BOX I LOVE LONDON,20781.65,11504,707,213,546.0,322.0,11.7,20235.65,2.63,2.57,1.81,29.3,88
21479,WHITE SKULL HOT WATER BOTTLE,20582.2,3915,499,252,635.93,185.0,0.0,19946.27,3.09,3.09,5.26,29.5,89
48185,DOORMAT FAIRY CAKE,23872.91,3615,365,143,4554.9,674.0,0.0,19318.01,19.08,19.08,6.6,29.7,90
84997B,CHILDRENS CUTLERY RETROSPOT RED,19098.89,4578,437,202,127.5,34.0,105.0,18971.39,0.67,0.12,4.17,29.89,91
21843,RED RETROSPOT CAKE STAND,21354.3,2012,539,260,2480.5,322.0,1505.1,18873.8,11.62,4.91,10.61,30.09,92
22969,HOMEMADE JAM SCENTED CANDLES,18771.15,12520,646,429,185.8,140.0,17.4,18585.35,0.99,0.9,1.5,30.28,93
22467,GUMBALL COAT RACK,18798.67,7926,681,262,337.5,147.0,0.0,18461.17,1.8,1.8,2.37,30.47,94
22501,PICNIC BASKET WICKER LARGE,19302.26,1602,445,187,873.2,100.0,29.85,18429.06,4.52,4.38,12.05,30.65,95
20726,LUNCH BAG WOODLAND,18283.78,9909,1017,372,134.9,82.0,82.5,18148.88,0.74,0.29,1.85,30.84,96
15036,ASSORTED COLOURS SILK FAN,18569.84,23826,518,194,505.68,744.0,0.0,18064.16,2.72,2.72,0.78,31.02,97
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18357.75,6361,880,356,300.85,107.0,0.0,18056.9,1.64,1.64,2.89,31.21,98
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17927.45,16244,305,167,90.0,72.0,60.0,17837.45,0.5,0.17,1.1,31.39,99
22382,LUNCH BAG SPACEBOY DESIGN,18031.31,10427,1157,490,242.35,159.0,16.5,17788.96,1.34,1.25,1.73,31.57,100
82486,WOOD S/3 CABINET ANT WHITE FINISH,18343.92,2136,605,235,585.9,70.0,204.55,17758.02,3.19,2.1,8.59,31.76,101
21485,RETROSPOT HEART HOT WATER BOTTLE,17663.98,3524,623,371,99.0,20.0,9.9,17564.98,0.56,0.5,5.01,31.94,102
22865,HAND WARMER OWL DESIGN,17786.13,8439,654,375,258.05,123.0,147.0,17528.08,1.45,0.63,2.11,32.11,103
22328,ROUND SNACK BOXES SET OF 4 FRUITS,19094.97,6835,581,227,1691.5,658.0,32.45,17403.47,8.86,8.7,2.79,32.29,104
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,20650.66,6748,316,155,3443.62,1228.0,78.96,17207.04,16.68,16.36,3.06,32.47,105
22384,LUNCH BAG PINK POLKADOT,17388.99,10487,1090,444,236.2,152.0,16.5,17152.79,1.36,1.26,1.66,32.64,106
22077,6 RIBBONS RUSTIC CHARM,17186.62,9172,955,413,56.1,34.0,0.0,17130.52,0.33,0.33,1.87,32.82,107
22698,PINK REGENCY TEACUP AND SAUCER,17445.56,5788,765,319,387.5,138.0,122.4,17058.06,2.22,1.53,3.01,32.99,108
22385,JUMBO BAG SPACEBOY DESIGN,17071.59,8666,686,247,215.14,118.0,179.0,16856.45,1.26,0.21,1.97,33.17,109
84997C,CHILDRENS CUTLERY POLKADOT BLUE,16871.47,4067,397,202,22.9,6.0,0.0,16848.57,0.14,0.14,4.15,33.34,110
82583,HOT BATHS METAL SIGN,16946.26,7258,609,206,133.46,72.0,0.0,16812.8,0.79,0.79,2.33,33.51,111
22492,MINI PAINT SET VINTAGE,16937.82,26633,380,213,127.4,196.0,23.4,16810.42,0.75,0.61,0.64,33.68,112
21754,HOME BUILDING BLOCK WORD,16923.47,2759,777,360,118.6,20.0,0.0,16804.87,0.7,0.7,6.13,33.86,113
23240,SET OF 4 KNICK KNACK TINS DOILY,17000.17,4177,536,323,206.7,50.0,4.15,16793.47,1.22,1.19,4.07,34.03,114
20719,WOODLAND CHARLOTTE BAG,16744.45,13290,833,238,87.4,112.0,25.5,16657.05,0.52,0.37,1.26,34.2,115
22993,SET OF 4 PANTRY JELLY MOULDS,16478.48,12649,1073,431,85.0,68.0,0.0,16393.48,0.52,0.52,1.3,34.37,116
15056BL,EDWARDIAN PARASOL BLACK,16915.72,2931,383,142,652.5,130.0,0.0,16263.22,3.86,3.86,5.77,34.53,117
84978,HANGING HEART JAR T-LIGHT HOLDER,16453.78,12493,728,304,206.59,175.0,0.0,16247.19,1.26,1.26,1.32,34.7,118
22624,IVORY KITCHEN SCALES,16378.71,1883,711,376,137.7,17.0,0.0,16241.01,0.84,0.84,8.7,34.86,119
22835,HOT WATER BOTTLE I AM SO POORLY,17892.96,3441,657,316,1679.7,394.0,121.8,16213.26,9.39,8.77,5.2,35.03,120
23301,GARDENERS KNEELING PAD KEEP CALM,16327.35,8807,913,405,168.9,114.0,9.9,16158.45,1.03,0.97,1.85,35.2,121
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16148.04,3319,459,211,58.0,14.0,34.0,16090.04,0.36,0.15,4.87,35.36,122
21232,STRAWBERRY CERAMIC TRINKET BOX,16248.8,11842,831,312,442.0,384.0,15.0,15806.8,2.72,2.63,1.37,35.52,123
85152,HAND OVER THE CHOCOLATE   SIGN,15928.73,8246,677,270,135.22,74.0,0.0,15793.51,0.85,0.85,1.93,35.68,124
23313,VINTAGE CHRISTMAS BUNTING,15798.66,2990,401,254,64.35,13.0,39.6,15734.31,0.41,0.16,5.28,35.84,125
22379,RECYCLING BAG RETROSPOT,15607.59,6896,748,187,122.65,64.0,0.0,15484.94,0.79,0.79,2.26,36.0,126
84078A,SET/4 WHITE RETRO STORAGE CUBES,16363.3,415,155,79,1248.25,35.0,0.0,15115.05,7.63,7.63,39.43,36.16,127
22084,PAPER CHAIN KIT EMPIRE,15099.37,5181,436,277,120.95,41.0,0.0,14978.42,0.8,0.8,2.91,36.31,128
22900,SET 2 TEA TOWELS I LOVE LONDON,14938.43,4907,533,194,552.6,216.0,19.5,14385.83,3.7,3.57,3.04,36.46,129
48184,DOORMAT ENGLISH ROSE,14300.15,2035,407,227,47.7,6.0,0.0,14252.45,0.33,0.33,7.03,36.6,130
22507,MEMO BOARD RETROSPOT  DESIGN,14193.35,2960,459,230,33.95,7.0,0.0,14159.4,0.24,0.24,4.8,36.75,131
22866,HAND WARMER SCOTTY DOG DESIGN,14366.52,6611,548,329,209.1,111.0,0.0,14157.42,1.46,1.46,2.17,36.89,132
21930,JUMBO STORAGE BAG SKULLS,14006.2,6438,705,220,6.24,3.0,0.0,13999.96,0.04,0.04,2.18,37.04,133
22867,HAND WARMER BIRD DESIGN,14061.89,6433,554,333,111.3,53.0,25.2,13950.59,0.79,0.61,2.19,37.18,134
23200,JUMBO BAG PEARS,14188.96,7067,595,262,243.63,134.0,214.8,13945.33,1.72,0.21,2.01,37.32,135
82483,WOOD 2 DRAWER CABINET WHITE FINISH,15123.92,2386,543,241,1225.85,203.0,298.5,13898.07,8.11,6.26,6.34,37.46,136
22083,PAPER CHAIN KIT RETROSPOT,14051.64,4616,610,294,165.2,56.0,0.0,13886.44,1.18,1.18,3.04,37.61,137
22625,RED KITCHEN SCALES,14082.2,1620,546,292,198.05,24.0,0.0,13884.15,1.41,1.41,8.69,37.75,138
22622,BOX OF VINTAGE ALPHABET BLOCKS,13931.31,1342,267,174,151.35,13.0,43.8,13779.96,1.09,0.77,10.38,37.89,139
22847,BREAD BIN DINER STYLE IVORY,14389.34,905,376,214,711.8,44.0,136.55,13677.54,4.95,4.04,15.9,38.03,140
23077,DOUGHNUT LIP GLOSS,13695.77,10395,344,217,75.0,60.0,0.0,13620.77,0.55,0.55,1.32,38.17,141
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13814.01,54951,535,307,253.92,1200.0,13.92,13560.09,1.84,1.74,0.25,38.31,142
22551,PLASTERS IN TIN SPACEBOY,13602.11,8074,673,339,47.85,29.0,0.0,13554.26,0.35,0.35,1.68,38.45,143
21524,DOORMAT SPOTTY HOME SWEET HOME,13572.06,1752,480,251,48.9,6.0,0.0,13523.16,0.36,0.36,7.75,38.58,144
22752,SET 7 BABUSHKA NESTING BOXES,14427.97,1787,380,188,952.0,124.0,734.4,13475.97,6.6,1.59,8.07,38.72,145
23343,JUMBO BAG VINTAGE CHRISTMAS,13972.71,6078,476,286,505.68,271.0,262.2,13467.03,3.62,1.78,2.3,38.86,146
22941,CHRISTMAS LIGHTS 10 REINDEER,13795.92,1670,311,205,429.25,51.0,0.0,13366.67,3.11,3.11,8.26,39.0,147
23356,LOVE HOT WATER BOTTLE,13334.32,2359,476,316,53.55,9.0,29.75,13280.77,0.4,0.18,5.65,39.13,148
22554,PLASTERS IN TIN WOODLAND ANIMALS,13328.27,7803,704,351,47.85,29.0,0.0,13280.42,0.36,0.36,1.71,39.27,149
22558,CLOTHES PEGS RETROSPOT PACK 24,13325.87,8676,772,363,66.58,42.0,0.0,13259.29,0.5,0.5,1.54,39.4,150
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13269.49,2841,405,195,29.64,8.0,0.0,13239.85,0.22,0.22,4.67,39.54,151
23108,SET OF 10 LED DOLLY LIGHTS,13290.52,2219,372,271,317.6,64.0,152.29,12972.92,2.39,1.26,5.99,39.67,152
22499,WOODEN UNION JACK BUNTING,12792.25,2091,407,217,23.8,4.0,0.0,12768.45,0.19,0.19,6.12,39.8,153
82600,NO SINGING METAL SIGN,12833.18,6013,545,221,73.3,38.0,0.0,12759.88,0.57,0.57,2.13,39.93,154
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,13611.81,1794,382,172,859.35,110.0,25.5,12752.46,6.31,6.14,7.59,40.06,155
23207,LUNCH BAG ALPHABET DESIGN,13325.55,7830,740,377,659.6,448.0,34.65,12665.95,4.95,4.7,1.7,40.19,156
22113,GREY HEART HOT WATER BOTTLE,12763.08,3220,561,337,104.25,27.0,0.0,12658.83,0.82,0.82,3.96,40.32,157
20750,RED RETROSPOT MINI CASES,12634.98,1747,385,235,47.7,6.0,0.0,12587.28,0.38,0.38,7.23,40.45,158
22607,WOODEN ROUNDERS GARDEN SET,12531.57,1327,358,224,36.9,4.0,0.0,12494.67,0.29,0.29,9.44,40.58,159
20749,ASSORTED COLOUR MINI CASES,12550.57,1762,383,239,63.6,8.0,31.8,12486.97,0.51,0.25,7.12,40.71,160
20723,STRAWBERRY CHARLOTTE BAG,12548.15,9793,722,230,62.71,75.0,0.0,12485.44,0.5,0.5,1.28,40.84,161
22188,BLACK HEART CARD HOLDER,12483.22,4870,189,123,3.95,1.0,0.0,12479.27,0.03,0.03,2.56,40.96,162
21790,VINTAGE SNAP CARDS,12510.01,14521,926,449,72.25,85.0,61.2,12437.76,0.58,0.09,0.86,41.09,163
20971,PINK BLUE FELT CRAFT TRINKET BOX,13828.1,10993,522,277,1405.01,1321.0,0.0,12423.09,10.16,10.16,1.26,41.22,164
21755,LOVE BUILDING BLOCK WORD,12435.86,2011,629,337,23.8,4.0,0.0,12412.06,0.19,0.19,6.18,41.35,165
22427,ENAMEL FLOWER JUG CREAM,12647.26,2106,506,311,243.9,42.0,101.1,12403.36,1.93,1.14,6.01,41.47,166
22776,SWEETHEART CAKESTAND 3 TIER,13078.78,1244,536,327,863.0,93.0,29.85,12215.78,6.6,6.38,10.51,41.6,167
21977,PACK OF 60 PINK PAISLEY CAKE CASES,12226.32,24820,869,410,55.55,101.0,13.2,12170.77,0.45,0.35,0.49,41.72,168
48188,DOORMAT WELCOME PUPPIES,12107.02,2064,287,163,40.05,5.0,0.0,12066.97,0.33,0.33,5.87,41.85,169
47590B,PINK HAPPY BIRTHDAY BUNTING,12179.6,2335,402,238,124.1,26.0,0.0,12055.5,1.02,1.02,5.22,41.97,170
22424,ENAMEL BREAD BIN CREAM,12358.33,873,454,189,342.6,28.0,0.0,12015.73,2.77,2.77,14.16,42.09,171
23174,REGENCY SUGAR BOWL GREEN,12342.43,3055,322,190,345.2,88.0,184.15,11997.23,2.8,1.32,4.04,42.21,172
22568,FELTCRAFT CUSHION OWL,12413.89,3373,470,244,540.66,158.0,0.0,11873.23,4.36,4.36,3.68,42.34,173
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,11905.95,3034,477,186,144.03,41.0,96.36,11761.92,1.21,0.4,3.92,42.46,174
22158,3 HEARTS HANGING DECORATION RUSTIC,11797.38,3413,303,196,71.75,25.0,0.0,11725.63,0.61,0.61,3.46,42.58,175
22193,RED DINER WALL CLOCK,11857.07,1400,460,206,192.95,24.0,91.8,11664.12,1.63,0.86,8.47,42.7,176
22087,PAPER BUNTING WHITE LACE,11872.58,4082,326,155,223.8,76.0,115.05,11648.78,1.89,0.92,2.91,42.81,177
23300,GARDENERS KNEELING PAD CUP OF TEA,11785.99,6809,758,351,231.6,152.0,75.9,11554.39,1.97,1.33,1.73,42.93,178
22692,DOORMAT WELCOME TO OUR HOME,11539.06,1522,443,231,23.85,3.0,0.0,11515.21,0.21,0.21,7.58,43.05,179
21936,RED RETROSPOT PICNIC BAG,11665.19,3985,531,223,157.1,56.0,2.95,11508.09,1.35,1.32,2.93,43.17,180
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18056.28,10241,262,160,6591.42,3150.0,37.8,11464.86,36.5,36.37,1.76,43.29,181
21217,RED RETROSPOT ROUND CAKE TINS,11522.44,1088,344,167,89.55,9.0,0.0,11432.89,0.78,0.78,10.59,43.4,182
23581,JUMBO BAG PAISLEY PARK,11581.83,5020,338,230,224.76,122.0,179.0,11357.07,1.94,0.4,2.31,43.52,183
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",11382.81,2128,430,150,78.5,16.0,0.0,11304.31,0.69,0.69,5.35,43.63,184
21080,SET/20 RED RETROSPOT PAPER NAPKINS,11312.56,13202,986,427,14.45,17.0,0.0,11298.11,0.13,0.13,0.86,43.75,185
22730,ALARM CLOCK BAKELIKE IVORY,11453.4,2885,570,241,187.5,50.0,3.75,11265.9,1.64,1.6,3.97,43.87,186
22041,"RECORD FRAME 7"" SINGLE SIZE",11354.56,4374,361,73,93.75,38.0,0.0,11260.81,0.83,0.83,2.6,43.98,187
85014B,RED RETROSPOT UMBRELLA,11265.26,1935,373,210,11.9,2.0,0.0,11253.36,0.11,0.11,5.82,44.1,188
22356,CHARLOTTE BAG PINK POLKADOT,11417.74,9716,742,220,201.53,266.0,72.0,11216.21,1.77,1.14,1.18,44.21,189
21481,FAWN BLUE HOT WATER BOTTLE,11443.87,3307,490,253,239.6,88.0,15.0,11204.27,2.09,1.97,3.46,44.33,190
22149,FELTCRAFT 6 FLOWER FRIENDS,12357.08,6070,547,337,1158.3,623.0,12.6,11198.78,9.37,9.28,2.04,44.44,191
22605,WOODEN CROQUET GARDEN SET,11276.21,782,299,181,97.0,8.0,0.0,11179.21,0.86,0.86,14.42,44.55,192
22413,METAL SIGN TAKE IT OR LEAVE IT,11095.94,3774,412,228,53.1,18.0,0.0,11042.84,0.48,0.48,2.94,44.67,193
22662,LUNCH BAG DOLLY GIRL DESIGN,11060.88,6706,682,310,28.05,17.0,0.0,11032.83,0.25,0.25,1.65,44.78,194
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,11300.02,975,290,179,298.2,28.0,89.55,11001.82,2.64,1.86,11.59,44.89,195
20711,JUMBO BAG TOYS,11014.62,5007,522,152,40.31,22.0,0.0,10974.31,0.37,0.37,2.2,45.01,196
